幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.31500,30.66500,30.64500,30.57800,30.50300,30.42800,30.35300,30.28200,30.21900,本行賣出,30.98500,30.76500,30.74900,30.68900,30.62300,30.55800,30.49300,30.43000,30.37700,
HKD,本行買入,3.77900,3.90500,3.90300,3.89800,3.89200,3.88600,3.88100,3.87500,3.86900,本行賣出,3.98300,3.96500,3.96400,3.96100,3.95500,3.95100,3.94600,3.94200,3.93700,
GBP,本行買入,39.86000,40.87000,40.83300,40.76000,40.66100,40.57200,40.47700,40.38200,40.28800,本行賣出,41.98000,41.27000,41.24700,41.20200,41.10500,41.02100,40.94100,40.86100,40.78100,
AUD,本行買入,19.64000,19.93000,19.91400,19.88300,19.84200,19.80800,19.77200,19.73600,19.69800,本行賣出,20.42000,20.13000,20.12000,20.10000,20.06000,20.02800,19.99900,19.97000,19.93800,
CAD,本行買入,21.77000,22.17000,22.15900,22.13600,22.11100,22.09100,22.06800,22.04500,22.02200,本行賣出,22.68000,22.37000,22.36600,22.35900,22.33400,22.31700,22.30200,22.28700,22.27100,
SGD,本行買入,23.25000,23.74000,23.73500,23.72600,23.72300,23.72300,23.72100,23.71800,23.71600,本行賣出,24.16000,23.92000,23.92400,23.93200,23.93100,23.93300,23.93900,23.94500,23.95100,
CHF,本行買入,37.33000,38.01000,38.01800,38.03500,38.08400,38.12700,38.16900,38.21100,38.25300,本行賣出,38.53000,38.26000,38.28400,38.33100,38.38200,38.43000,38.48700,38.54400,38.60100,
JPY,本行買入,0.19720,0.20450,0.20450,0.20460,0.20480,0.20490,0.20500,0.20510,0.20520,本行賣出,0.21000,0.20850,0.20860,0.20880,0.20900,0.20920,0.20940,0.20960,0.20990,
ZAR,本行買入,0.00000,1.69300,1.69000,1.68400,1.67600,1.66900,1.66100,1.65300,1.64500,本行賣出,0.00000,1.77300,1.77100,1.76700,1.75800,1.75100,1.74400,1.73700,1.73000,
SEK,本行買入,0.00000,3.21000,3.20900,3.20700,3.20500,3.20300,3.20100,3.19900,3.19700,本行賣出,0.00000,3.31000,3.31000,3.31000,3.30900,3.30700,3.30700,3.30700,3.30700,
NZD,本行買入,17.52000,17.90000,17.88800,17.86400,17.83900,17.81700,17.79400,17.77100,17.74800,本行賣出,18.37000,18.10000,18.09500,18.08600,18.06300,18.04200,18.02600,18.00900,17.99300,
THB,本行買入,0.81970,0.93310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.00970,0.97310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.47010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60210,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.93000,35.55000,35.54000,35.51900,35.49900,35.48000,35.45800,35.43600,35.40000,本行賣出,36.27000,35.95000,35.94600,35.93700,35.92000,35.90700,35.89800,35.88900,35.88000,
KRW,本行買入,0.02034,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02424,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00135,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.23700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.76200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.20100,4.27300,4.27260,4.27170,4.27000,4.26920,4.26730,4.26490,4.26360,本行賣出,4.36300,4.32300,4.32330,4.32400,4.32260,4.32190,4.32160,4.32120,4.32080,
